Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-22 00:00:00+02:00,3.2628814717219132,3.2993488432011513,3.257123405487456,3.290231943130493,88922617,0.0,0.0
2024-04-23 00:00:00+02:00,3.3003086439643856,3.384759753295677,3.2950306069335236,3.3775622844696045,132432227,0.0,0.0
2024-04-24 00:00:00+02:00,3.4063521745809853,3.423626373242437,3.363166906730751,3.3751628398895264,97073074,0.0,0.0
2024-04-25 00:00:00+02:00,3.3972354867113848,3.40443295553482,3.341094680760409,3.361727714538574,68120221,0.0,0.0
2024-04-26 00:00:00+02:00,3.3900378105893876,3.4154690790936018,3.3655661435220434,3.406831979751587,61369142,0.0,0.0
2024-04-29 00:00:00+02:00,3.4183480979114638,3.432743034617891,3.380441095672894,3.4001142978668213,87094996,0.0,0.0
2024-04-30 00:00:00+02:00,3.4116305313626594,3.4303441326782216,3.3838000297546387,3.3838000297546387,68284439,0.0,0.0
2024-05-02 00:00:00+02:00,3.4034732970541146,3.4480979690977054,3.390517761867485,3.4298641681671143,91788785,0.0,0.0
2024-05-03 00:00:00+02:00,3.445218932167284,3.4519366001232767,3.298389381007082,3.322381019592285,167779882,0.0,0.0
2024-05-06 00:00:00+02:00,3.3574090688863962,3.4250657749599855,3.3434937040547656,3.4193077087402344,86197369,0.0,0.0
2024-05-07 00:00:00+02:00,3.4389811267299266,3.4543358946780667,3.417388720256369,3.453376293182373,79494637,0.0,0.0
2024-05-08 00:00:00+02:00,3.4548155094338022,3.4797669774058266,3.417388536279162,3.448577642440796,81280292,0.0,0.0
2024-05-09 00:00:00+02:00,3.4442591787245522,3.46441218170336,3.39339664175608,3.4351422786712646,72237096,0.0,0.0
2024-05-10 00:00:00+02:00,3.447138264003521,3.4629728319560433,3.429864065071643,3.4552955627441406,72606048,0.0,0.0
2024-05-13 00:00:00+02:00,3.4610533805787966,3.4956015494427835,3.4548155135783074,3.4802467823028564,69800781,0.0,0.0
2024-05-14 00:00:00+02:00,3.487924318682392,3.5834115276315726,3.4812066508853383,3.553661823272705,158147160,0.0,0.0
2024-05-15 00:00:00+02:00,3.5954073740242736,3.5963669754567995,3.534468335794389,3.5766937732696533,83493096,0.0,0.0
2024-05-16 00:00:00+02:00,3.5886899260922083,3.5930083616063473,3.557980390337376,3.5824520587921143,76078588,0.0,0.0
2024-05-17 00:00:00+02:00,3.5838913358666793,3.617000102996826,3.5781332695133146,3.617000102996826,123975045,0.0,0.0
2024-05-20 00:00:00+02:00,3.6494998931884766,3.6600000858306885,3.5439999103546143,3.559000015258789,120659136,0.152,0.0
