Index,Stock Value,Weighted Average,Sigma,Portfolio Value
149,4.1772,4.13774,0.0601838,100.393
150,4.205,4.13976,0.0602186,101.06
151,4.2121,4.14193,0.0602894,101.23
152,4.2,4.14367,0.0602644,100.94
153,4.195,4.14521,0.0602022,100.82
154,4.21,4.14716,0.0602196,101.18
155,4.245,4.15009,0.0605053,102.02
156,4.195,4.15144,0.0604125,100.82
157,4.19,4.1526,0.0602944,100.7
158,4.175,4.15327,0.0601292,100.34
159,4.15,4.15317,0.0599416,99.7395
160,4.155,4.15323,0.0597553,99.8596
161,4.16,4.15343,0.0595728,99.9796
162,4.225,4.15558,0.0596382,101.54
163,4.185,4.15646,0.0594979,100.58
164,4.17,4.15687,0.0593261,100.22
165,4.11,4.15546,0.0592523,98.7792
166,4.0889,4.15346,0.0592855,98.2726
167,4.075,4.15111,0.0593997,97.9388
168,4.075,4.14883,0.0594954,97.9388
169,4.085,4.14691,0.0595099,98.179
170,4.085,4.14505,0.0595131,98.179
171,4.05,4.1422,0.0597548,97.3383
172,3.99,4.13764,0.0606299,95.897
173,3.965,4.13246,0.061774,95.2964
174,3.975,4.12773,0.0626699,95.5366
175,3.965,4.12285,0.0636143,95.2964
176,4.01,4.11947,0.0639657,96.3776
177,3.995,4.11573,0.0644245,96.0172
178,4.05,4.11376,0.0644208,97.3387
179,4.09,4.11305,0.0642645,98.2998
180,4.1401,4.11386,0.0641164,99.5036
181,4.135,4.11449,0.0639581,99.3811
182,4.14,4.11526,0.0638093,99.5012
183,4.14,4.116,0.0636603,99.5012
184,4.14,4.11672,0.0635111,99.5012
185,4.1,4.11622,0.0633513,98.5401
186,4.1605,4.11755,0.0632597,99.9938
187,4.125,4.11777,0.0630934,99.1408
188,4.115,4.11769,0.0629266,98.9005
189,4.125,4.11791,0.0627629,99.1408
190,4.15,4.11887,0.0626389,99.7415
191,4.14,4.1195,0.0624931,99.5012
192,4.13,4.11982,0.0623353,99.2609
193,4.2,4.12222,0.0624246,100.943
194,4.185,4.12411,0.0624169,100.582
195,4.18,4.12578,0.0623778,100.462
196,4.16,4.12681,0.0622642,99.9818
197,4.16,4.12781,0.0621489,99.9818
198,4.175,4.12922,0.0620774,100.342
199,4.22,4.13195,0.0622343,101.423
200,4.255,4.13564,0.0626476,102.264
201,4.27,4.13967,0.0631615,102.625
202,4.265,4.14343,0.0635809,102.505
203,4.26,4.14692,0.0639171,102.385
204,4.265,4.15047,0.0642608,102.505
205,4.245,4.1533,0.0644223,102.024
206,4.27,4.1568,0.0647463,102.625
207,4.2699,4.1602,0.0650368,102.622
208,4.295,4.16424,0.0655084,103.226
209,4.295,4.16816,0.0659358,103.226
210,4.295,4.17197,0.0663224,103.226
211,4.295,4.17566,0.0666715,103.226
212,4.305,4.17954,0.067068,103.466
213,4.3,4.18315,0.0673862,103.346
214,4.3,4.18666,0.0676722,103.346
215,4.34,4.19126,0.0682697,104.307
216,4.325,4.19527,0.0686792,103.946
217,4.295,4.19826,0.068834,103.226
218,4.2997,4.20131,0.0689977,103.339
219,4.285,4.20382,0.069058,102.985
220,4.28,4.2061,0.0690807,102.865
221,4.245,4.20727,0.0689714,102.024
222,4.285,4.2096,0.0690016,102.985
223,4.33,4.21321,0.0692881,104.067
224,4.355,4.21747,0.0697394,104.667
225,4.355,4.22159,0.0701485,104.667
226,4.355,4.2256,0.0705188,104.667
227,4.37,4.22993,0.0709728,105.028
228,4.43,4.23593,0.0719695,106.469
229,4.405,4.241,0.0726225,105.869
230,4.3495,4.24426,0.0727952,104.535
231,4.32,4.24653,0.0727982,103.826
232,4.33,4.24903,0.0728352,104.067
233,4.3387,4.25172,0.0729015,104.276
234,4.34,4.25437,0.0729603,104.307
235,4.37,4.25784,0.0731707,105.028
236,4.37,4.26121,0.0733574,105.028
237,4.33,4.26327,0.0733308,104.067
238,4.33,4.26527,0.0732969,104.067
239,4.3213,4.26695,0.0732281,103.858
240,4.335,4.26899,0.0731997,104.187
241,4.34,4.27112,0.0731823,104.307
242,4.212,4.26935,0.0731242,101.231
243,4.225,4.26802,0.0730261,101.544
244,4.21,4.26628,0.0729656,101.183
245,4.215,4.26474,0.0728862,101.303
246,4.2,4.2628,0.0728481,100.943
247,4.185,4.26046,0.0728589,100.582
248,4.24,4.25985,0.0727233,101.904
249,4.16,4.25685,0.0728358,99.9816
250,4.18,4.25455,0.0728427,100.462
251,4.16,4.25171,0.0729272,99.9816
252,4.16,4.24896,0.0729975,99.9816
253,4.165,4.24644,0.0730327,100.102
254,4.145,4.2434,0.0731493,99.6212
255,4.13,4.24,0.0733293,99.2607
256,4.135,4.23685,0.0734617,99.3808
257,4.1299,4.23364,0.0736031,99.2583
258,4.115,4.23008,0.0738081,98.9002
259,4.12,4.22678,0.0739631,99.0203
260,4.12,4.22357,0.0740991,99.0203
261,4.09,4.21957,0.0743895,98.2994
262,4.1,4.21598,0.0745915,98.5397
263,4.11,4.2128,0.0747185,98.78
264,4.1,4.20942,0.0748797,98.5397
265,4.095,4.20598,0.0750479,98.4195
266,4.095,4.20265,0.0751964,98.4195
267,4.095,4.19942,0.0753266,98.4195
268,4.085,4.19599,0.0754904,98.1792
269,4.1,4.19311,0.0755632,98.5397
270,4.105,4.19047,0.0756021,98.6599
271,4.085,4.1873,0.0757176,98.1792
272,4.105,4.18484,0.0757331,98.6599
273,4.145,4.18364,0.0756308,99.6212
274,4.15,4.18263,0.0755188,99.7414
275,4.145,4.1815,0.0754139,99.6212
276,4.18,4.18146,0.0752777,100.462
277,4.175,4.18126,0.0751431,100.342
278,4.16,4.18063,0.0750185,99.9817
279,4.19,4.18091,0.0748863,100.703
280,4.13,4.17938,0.074811,99.2607
281,4.105,4.17715,0.0748017,98.6599
282,4.085,4.17438,0.0748583,98.1792
283,4.1,4.17215,0.0748489,98.5397
284,4.065,4.16894,0.0749707,97.6985
285,4.09,4.16657,0.0749763,98.2993
286,4.08,4.16397,0.0750096,98.059
287,4.055,4.1607,0.0751378,97.4581
288,4.062,4.15774,0.0752189,97.6264
289,4.055,4.15466,0.0753168,97.4581
290,4.07,4.15212,0.0753412,97.8187
291,4.125,4.15131,0.0752278,99.1405
292,4.11,4.15007,0.0751358,98.78
293,4.09,4.14827,0.0750849,98.2993
294,4.075,4.14607,0.0750716,97.9388
295,4.085,4.14424,0.0750237,98.1792
296,4.085,4.14246,0.0749715,98.1792
297,4.06,4.13998,0.0749889,97.5783
298,4.045,4.13714,0.0750528,97.2178
299,4.06,4.13482,0.075052,97.5783
300,4.065,4.13273,0.0750288,97.6985
301,4.1,4.13174,0.0749268,98.5397
302,4.115,4.13124,0.0748089,98.9002
303,4.115,4.13075,0.0746912,98.9002
304,4.08,4.12923,0.0746219,98.059
305,4.004,4.12548,0.0748228,96.2324
306,4,4.12171,0.0750231,96.1363
307,4.005,4.11821,0.0751785,96.2565
308,4.025,4.11541,0.0752328,96.7371
309,4.025,4.1127,0.0752763,96.7371
310,4.015,4.10977,0.0753471,96.4968
311,4,4.10648,0.0754674,96.1363
312,4.005,4.10343,0.0755519,96.2565
313,4.09,4.10303,0.0754351,98.2993
314,4.1425,4.10421,0.0753461,99.5611
315,4.155,4.10574,0.0752778,99.8616
316,4.13,4.10647,0.0751706,99.2607
317,4.115,4.10672,0.0750538,98.9002
318,4.055,4.10517,0.0749887,97.4581
319,4,4.10201,0.0750883,96.1363
320,3.93,4.09685,0.0755474,94.4539
321,3.895,4.0908,0.0762151,93.6127
322,3.8619,4.08393,0.0770934,92.8172
323,3.821,4.07604,0.0782675,91.8342
324,3.745,4.06611,0.0801513,90.0076
325,3.86,4.05993,0.0807907,92.7715
326,3.67,4.04823,0.0833347,88.205
327,3.715,4.03823,0.0851001,89.2866
328,3.755,4.02974,0.0863101,90.2479
329,3.75,4.02134,0.0874642,90.1278
330,3.735,4.01275,0.0886563,89.7672
331,3.755,4.00502,0.0895799,90.2479
332,3.69,3.99557,0.0909992,88.6857
333,3.76,3.9885,0.0917191,90.3681
334,3.74,3.98105,0.0925242,89.8874
335,3.755,3.97427,0.0931576,90.2479
336,3.77,3.96814,0.0936434,90.6084
337,3.7896,3.96278,0.0939781,91.0795
338,3.815,3.95835,0.0941618,91.69
339,3.8,3.9536,0.0943915,91.3295
340,3.755,3.94764,0.0948286,90.2479
341,3.74,3.94141,0.0953141,89.8874
342,3.7489,3.93564,0.0957077,90.1013
343,3.76,3.93037,0.0960089,90.3681
344,3.81,3.92676,0.0960755,91.5698
345,3.825,3.9237,0.0960832,91.9303
346,3.81,3.92029,0.0961272,91.5698
347,3.94,3.92088,0.0959944,94.6942
348,3.93,3.92116,0.095858,94.4539
349,3.925,3.92127,0.0957211,94.3337
350,3.915,3.92108,0.0955852,94.0934
351,3.93,3.92135,0.0954505,94.4539
352,3.91,3.92101,0.095317,93.9732
353,3.87,3.91948,0.0952186,93.0118
354,3.96,3.9207,0.0951073,95.1749
355,3.995,3.92293,0.0950504,96.0161
356,3.99,3.92494,0.0949796,95.8959
357,3.995,3.92704,0.0949148,96.0161
358,3.98,3.92863,0.0948213,95.6556
359,3.96,3.92957,0.0947031,95.1749
360,3.9,3.92868,0.0945839,93.7329
361,3.945,3.92917,0.0944568,94.8144
362,3.95,3.9298,0.0943326,94.9346
363,3.96,3.9307,0.0942154,95.1749
364,3.985,3.93233,0.0941267,95.7758
365,3.98,3.93376,0.0940291,95.6556
366,3.995,3.9356,0.0939521,96.0161
367,3.97,3.93663,0.0938404,95.4153
368,3.77,3.93163,0.0940902,90.6084
369,3.735,3.92573,0.0944847,89.7672
370,3.77,3.92106,0.0946826,90.6084
371,3.795,3.91728,0.0947676,91.2093
372,3.775,3.91301,0.0949099,90.7286
373,3.76,3.90842,0.0950931,90.3681
374,3.71,3.90247,0.0954849,89.1664
375,3.6093,3.89367,0.096479,86.7462
376,3.615,3.88531,0.0973515,86.8832
377,3.575,3.876,0.0984477,85.9218
378,3.565,3.86667,0.0995314,85.6815
379,3.575,3.85792,0.100454,85.9218
380,3.55,3.84869,0.101483,85.3209
381,3.53,3.83912,0.102576,84.8403
382,3.63,3.83285,0.102966,87.2437
383,3.625,3.82662,0.103345,87.1235
384,3.66,3.82162,0.103539,87.9647
385,3.675,3.81722,0.103657,88.3252
386,3.655,3.81235,0.103832,87.8445
387,3.68,3.80838,0.103903,88.4454
388,3.62,3.80273,0.104182,87.0033
389,3.72,3.80025,0.104128,89.4067
390,3.725,3.79799,0.10406,89.5269
391,3.7698,3.79715,0.103936,90.6036
392,3.8,3.79723,0.103804,91.3295
393,3.765,3.79626,0.103684,90.4883
394,3.755,3.79503,0.103572,90.2479
395,3.74,3.79338,0.103476,89.8874
396,3.8,3.79357,0.103346,91.3295
397,3.805,3.79392,0.103218,91.4496
398,3.815,3.79455,0.103094,91.69
399,3.82,3.79531,0.102972,91.8101
400,3.81,3.79575,0.102846,91.5698
401,3.795,3.79573,0.102718,91.2093
402,3.8,3.79586,0.102591,91.3295
403,3.77,3.79508,0.102471,90.6084
404,3.715,3.79268,0.102417,89.2866
405,3.695,3.78975,0.102399,88.8059
406,3.6775,3.78638,0.102416,88.3853
407,3.7,3.78379,0.102374,88.9261
408,3.715,3.78173,0.102302,89.2866
409,3.8,3.78228,0.102181,91.3295
410,3.817,3.78332,0.10207,91.738
411,3.87,3.78592,0.10203,93.0118
412,3.88,3.78874,0.102006,93.2522
413,3.89,3.79178,0.101997,93.4925
414,3.89,3.79472,0.101981,93.4925
415,3.89,3.79758,0.101959,93.4925
416,3.91,3.80096,0.101977,93.9732
417,3.86,3.80273,0.101893,92.7715
418,3.82,3.80324,0.101775,91.8101
419,3.8281,3.80399,0.10166,92.0048
420,3.805,3.80402,0.10154,91.4496
421,3.805,3.80405,0.101419,91.4496
422,3.81,3.80423,0.1013,91.5698
423,3.82,3.8047,0.101183,91.8101
424,3.76,3.80336,0.101086,90.3681
425,3.745,3.80161,0.101004,90.0076
426,3.76,3.80036,0.100905,90.3681
427,3.7393,3.79853,0.100827,89.8706
428,3.76,3.79737,0.100726,90.3681
429,3.75,3.79595,0.100633,90.1278
430,3.77,3.79517,0.100524,90.6084
431,3.725,3.79307,0.100461,89.5269
432,3.7,3.79028,0.100438,88.9261
433,3.695,3.78742,0.100421,88.8059
434,3.71,3.7851,0.10037,89.1664
435,3.68,3.78194,0.100373,88.4454
436,3.675,3.77873,0.100381,88.3252
437,3.67,3.77547,0.100393,88.205
438,3.735,3.77426,0.100296,89.7672
439,3.685,3.77158,0.100267,88.5655
440,3.685,3.76898,0.100233,88.5655
441,3.675,3.76616,0.100214,88.3252
442,3.67,3.76328,0.100199,88.205
443,3.665,3.76033,0.100188,88.0849
444,3.66,3.75732,0.100182,87.9647
445,3.6447,3.75394,0.100203,87.597
446,3.68,3.75172,0.100148,88.4454
447,3.675,3.74942,0.100098,88.3252
448,3.66,3.74674,0.10007,87.9647
449,3.665,3.74429,0.100029,88.0849
450,3.635,3.74101,0.100043,87.3638
451,3.65,3.73828,0.100018,87.7244
452,3.69,3.73683,0.0999318,88.6857
453,3.72,3.73633,0.0998246,89.4067
454,3.7,3.73524,0.0997285,88.9261
455,3.67,3.73328,0.0996632,88.205
456,3.675,3.73153,0.0995892,88.3252
457,3.655,3.72923,0.0995409,87.8445
458,3.67,3.72746,0.0994685,88.205
459,3.655,3.72528,0.0994144,87.8445
460,3.62,3.72212,0.0994203,87.0033
461,3.63,3.71936,0.0993997,87.2437
462,3.625,3.71653,0.0993833,87.1235
463,3.63,3.71393,0.0993526,87.2437
464,3.635,3.71157,0.0993092,87.3638
465,3.63,3.70912,0.0992703,87.2437
466,3.608,3.70609,0.0992678,86.7149
467,3.615,3.70335,0.0992457,86.8832
468,3.5814,3.69969,0.0992902,86.0756
