Index,Stock Value,Weighted Average,Sigma
176,2.70915,2.34605,0.000912677
177,2.68132,2.34941,0.000919262
178,2.77825,2.35369,0.000932657
179,2.72547,2.35741,0.000941308
180,2.69955,2.36083,0.000947752
181,2.73554,2.36458,0.000956244
182,2.78688,2.3688,0.000968039
183,2.79168,2.37303,0.000979561
184,2.73506,2.37665,0.000986501
185,2.70339,2.37992,0.000991124
186,2.69284,2.38305,0.000994871
187,2.71587,2.38638,0.000999675
188,2.68804,2.38939,0.00100265
189,2.70963,2.3926,0.00100658
190,2.73506,2.39602,0.0010117
191,2.71107,2.39917,0.00101516
192,2.71683,2.40235,0.00101871
193,2.73458,2.40567,0.00102298
194,2.78305,2.40944,0.00102985
195,2.78544,2.4132,0.00103648
196,2.82143,2.41729,0.00104505
197,2.83295,2.42144,0.00105391
198,2.82623,2.42549,0.00106184
199,2.83007,2.42954,0.00106958
200,2.82815,2.43352,0.00107678
201,2.87901,2.43798,0.00108688
202,2.89821,2.44258,0.00109775
203,2.93851,2.44754,0.00111092
204,2.97498,2.45281,0.00112612
205,2.97066,2.45799,0.00114015
206,2.94619,2.46287,0.00115166
207,2.96538,2.4679,0.00116387
208,3.01865,2.47341,0.0011793
209,3.05175,2.47919,0.0011964
210,3.0244,2.48464,0.00121051
211,3.10741,2.49087,0.00123018
212,3.10166,2.49698,0.00124827
213,3.14388,2.50345,0.00126868
214,3.16691,2.51008,0.00128977
215,3.14868,2.51647,0.00130822
216,3.16212,2.52292,0.00132664
217,3.18899,2.52958,0.00134607
218,3.21394,2.53643,0.0013663
219,3.22018,2.54327,0.00138585
220,3.2197,2.55003,0.00140425
221,3.22641,2.55679,0.0014221
222,3.27248,2.56395,0.00144232
223,3.18899,2.5702,0.0014556
224,3.20434,2.57654,0.00146912
225,3.20674,2.58284,0.00148202
226,3.19954,2.58901,0.00149376
227,3.22162,2.59534,0.00150617
228,3.18227,2.60121,0.00151555
229,3.18611,2.60706,0.00152459
230,3.13812,2.61237,0.00153054
231,3.13141,2.61756,0.00153574
232,3.18611,2.62324,0.00154337
233,3.18563,2.62887,0.0015505
234,3.26288,2.63521,0.00156142
235,3.30031,2.64186,0.00157391
236,3.40635,2.6495,0.00159246
237,3.39724,2.65698,0.00160934
238,3.39004,2.66431,0.0016248
239,3.41835,2.67185,0.00164118
240,3.41163,2.67925,0.00165619
241,3.40347,2.68649,0.00166986
242,3.44522,2.69408,0.00168525
243,3.35741,2.70071,0.00169474
244,3.43898,2.70809,0.0017082
245,3.45482,2.71556,0.0017218
246,3.44426,2.72285,0.001734
247,3.44714,2.73009,0.00174564
248,3.46105,2.7374,0.00175735
249,3.48792,2.74491,0.00176985
250,3.59541,2.75341,0.00178795
251,3.58869,2.76176,0.00180459
252,3.58389,2.76998,0.00181998
253,3.6495,2.77878,0.00183839
254,3.55,2.78649,0.00185006
255,3.55,2.79413,0.00186101
